timestamp_ms,speed,latitude,longitude,total_time_ms,Distance,Lap
1760239606708 ,37.07999902,36.52955246,140.2290955,35550,279.4098619,1
1760239607194 ,37.07999902,36.52955246,140.2290955,36000,279.4098619,1
1760239607684 ,36.15299904,36.52952194,140.2292023,36500,289.5380169,1
1760239608192 ,36.15299904,36.52952194,140.2292023,36950,289.5380169,1
1760239608684 ,35.23342249,36.52948761,140.2292938,37400,298.5609032,1
1760239609184 ,35.23342249,36.52948761,140.2292938,37850,298.5609032,1
1760239609686 ,33.37108787,36.52946472,140.2294006,38300,308.4371864,1
1760239610178 ,33.37108787,36.52946472,140.2294006,38800,308.4371864,1
1760239610692 ,32.4440879,36.52943802,140.2294922,39250,317.1435738,1
1760239611207 ,32.4440879,36.52943802,140.2294922,39700,317.1435738,1
1760239611685 ,33.37108787,36.52941895,140.2295685,40150,324.2832147,1
1760239612185 ,33.37108787,36.52941895,140.2295685,40600,324.2832147,1
1760239612685 ,35.2176644,36.52940369,140.2296753,41100,333.9755856,1
1760239613189 ,35.2176644,36.52940369,140.2296753,41550,333.9755856,1
1760239613686 ,34.29899909,36.52938461,140.2297668,42000,342.4219977,1
1760239614194 ,34.29899909,36.52938461,140.2297668,42450,342.4219977,1
1760239614685 ,33.37199912,36.52937698,140.2298737,42950,352.0112257,1
1760239615184 ,33.37199912,36.52937698,140.2298737,43400,352.0112257,1
1760239615704 ,33.38127839,36.52936935,140.2299652,43850,360.2307471,1
1760239616202 ,33.38127839,36.52936935,140.2299652,44300,360.2307471,1
1760239616685 ,30.60027847,36.52936935,140.2300568,44750,368.4152999,1
1760239617185 ,30.60027847,36.52936935,140.2300568,45200,368.4152999,1
1760239617703 ,30.59286988,36.52936935,140.2301483,45650,376.5909175,1
1760239618205 ,30.59286988,36.52936935,140.2301483,46100,376.5909175,1
1760239618715 ,29.6658699,36.52937317,140.2302246,46600,383.4216194,1
1760239619212 ,29.6658699,36.52937317,140.2302246,47050,383.4216194,1
1760239619704 ,28.72959065,36.52937698,140.2303162,47500,391.6171289,1
1760239620188 ,28.72959065,36.52937698,140.2303162,47950,391.6171289,1
1760239620686 ,28.72959065,36.52938461,140.2304077,48400,399.8366495,1
1760239621182 ,28.72959065,36.52938461,140.2304077,48900,399.8366495,1
1760239621690 ,27.80999926,36.52939606,140.230484,49350,406.7719964,1
1760239622188 ,27.80999926,36.52939606,140.230484,49800,406.7719964,1
1760239622709 ,28.73699924,36.5294075,140.2305603,50250,413.7071382,1
1760239623184 ,28.73699924,36.5294075,140.2305603,50700,413.7071382,1
1760239623705 ,27.80999926,36.52941895,140.2306519,51200,421.9901222,1
1760239624204 ,27.80999926,36.52941895,140.2306519,51650,421.9901222,1
1760239624706 ,27.80999926,36.52943039,140.2307281,52100,428.9164788,1
1760239625191 ,27.80999926,36.52943039,140.2307281,52550,428.9164788,1
1760239625687 ,29.66399921,36.52944565,140.2308044,53050,435.9419494,1
1760239626194 ,29.66399921,36.52944565,140.2308044,53500,435.9419494,1
1760239626692 ,29.66399921,36.52946854,140.230896,53950,444.5131265,1
1760239627184 ,29.66399921,36.52946854,140.230896,54400,444.5131265,1
1760239627688 ,28.73699924,36.52948761,140.230957,54900,450.3614924,1
1760239628191 ,28.73699924,36.52948761,140.230957,55350,450.3614924,1
1760239628685 ,29.66399921,36.52950668,140.2310333,55800,457.5011275,1
1760239629186 ,29.66399921,36.52950668,140.2310333,56250,457.5011275,1
1760239629687 ,28.73699924,36.52952957,140.2311096,56750,464.7782294,1
1760239630185 ,28.73699924,36.52952957,140.2311096,57200,464.7782294,1
1760239630684 ,26.88299929,36.52955246,140.2311859,57650,472.0553293,1
1760239631183 ,26.88299929,36.52955246,140.2311859,58100,472.0553293,1
1760239631683 ,26.88299929,36.52957535,140.2312469,58550,478.0707398,1
1760239632183 ,26.88299929,36.52957535,140.2312469,59000,478.0707398,1
1760239632697 ,25.95599931,36.52959824,140.2313385,59500,486.6419038,1
1760239633192 ,25.95599931,36.52959824,140.2313385,59950,486.6419038,1
1760239633687 ,25.01604724,36.52961731,140.2313995,60400,492.4902612,1
1760239634183 ,25.01604724,36.52961731,140.2313995,60850,492.4902612,1
1760239634686 ,25.95605122,36.52964783,140.2314606,61300,498.9184249,1
1760239635205 ,25.95605122,36.52964783,140.2314606,61800,498.9184249,1
1760239635706 ,25.02905125,36.52967453,140.2315216,62250,505.1249684,1
1760239636201 ,25.02905125,36.52967453,140.2315216,62700,505.1249684,1
1760239636692 ,24.10205127,36.52970505,140.2315979,63150,512.7403937,1
1760239637185 ,24.10205127,36.52970505,140.2315979,63650,512.7403937,1
1760239637696 ,24.12800738,36.52973175,140.2316437,64100,517.7961818,1
1760239638206 ,24.12800738,36.52973175,140.2316437,64550,517.7961818,1
1760239638705 ,22.25175192,36.52976608,140.2317047,65000,524.4504047,1
1760239639205 ,22.25175192,36.52976608,140.2317047,65500,524.4504047,1
1760239639693 ,23.1787519,36.5297966,140.2317505,65950,529.766754,1
1760239640187 ,23.1787519,36.5297966,140.2317505,66400,529.766754,1
1760239640684 ,24.10575187,36.52983093,140.2317963,66900,535.3630492,1
1760239641205 ,24.10575187,36.52983093,140.2317963,67350,535.3630492,1
1760239641709 ,23.16574789,36.52986526,140.2318573,67800,542.0172665,1
1760239642206 ,23.16574789,36.52986526,140.2318573,68300,542.0172665,1
1760239642698 ,24.10199936,36.52990341,140.2318878,68750,547.0592894,1
1760239643193 ,24.10199936,36.52990341,140.2318878,69200,547.0592894,1
1760239643691 ,24.11500337,36.52994156,140.2319336,69650,552.9535098,1
1760239644190 ,24.11500337,36.52994156,140.2319336,70150,552.9535098,1
1760239644687 ,24.10205127,36.52997589,140.2319641,70600,557.6437785,1
1760239645196 ,24.10205127,36.52997589,140.2319641,71050,557.6437785,1
1760239645703 ,23.1750513,36.53001404,140.2319946,71550,562.6857993,1
1760239646193 ,23.1750513,36.53001404,140.2319946,72000,562.6857993,1
1760239646692 ,22.24805132,36.53004456,140.2320404,72450,568.0021385,1
1760239647193 ,22.24805132,36.53004456,140.2320404,72950,568.0021385,1
1760239647686 ,21.30804734,36.53007889,140.2320862,73400,573.5984241,1
1760239648187 ,21.30804734,36.53007889,140.2320862,73850,573.5984241,1
1760239648691 ,20.39399946,36.53010941,140.2321167,74350,577.9508522,1
1760239649185 ,20.39399946,36.53010941,140.2321167,74800,577.9508522,1
1760239649677 ,20.39399946,36.53014755,140.2321472,75250,582.991935,1
1760239650179 ,20.39399946,36.53014755,140.2321472,75750,582.991935,1
1760239650695 ,21.32099944,36.53017807,140.2321777,76200,587.3443615,1
